"Protein_ID","Domain_Name","Genomic_Start","Genomic_End"
"ENSP00000387259","PK_Tyr_Ser-Thr",173091080,173209761
"ENSP00000387259","SAM_2",173232331,173238390
"ENSP00000340257","PK_Tyr_Ser-Thr",173091080,173209761
"ENSP00000364361","PK_Tyr_Ser-Thr",173091080,173209761
"ENSP00000364361","SAM_2",173232331,173238390
