"Protein_ID","Domain_ID","Domain_Name","Genomic_Start","Genomic_End"
"ENSMUSP00000100344","PF07686","V-set",52666074,52666328
"ENSMUSP00000140728","PF07686","V-set",52666074,52666328
"ENSMUSP00000142736","PF07686","V-set",52805244,52805501
"ENSMUSP00000100345","PF07686","V-set",52805244,52805501
"ENSMUSP00000100346","PF07686","V-set",52818406,52818666
"ENSMUSP00000100347","PF07686","V-set",52860275,52860532
"ENSMUSP00000100348","PF07686","V-set",52876166,52876411
"ENSMUSP00000142920","PF07686","V-set",52892524,52892781
"ENSMUSP00000142452","PF07686","V-set",52905062,52905313
"ENSMUSP00000100350","PF07686","V-set",52905062,52905313
"ENSMUSP00000143514","PF07686","V-set",52921668,52921922
"ENSMUSP00000137760","PF07686","V-set",52964123,52964371
"ENSMUSP00000139137","PF07686","V-set",52964123,52964371
"ENSMUSP00000136195","PF07686","V-set",52982036,52982293
"ENSMUSP00000137863","PF07686","V-set",52991050,52991295
"ENSMUSP00000139057","PF07686","V-set",52991050,52991295
"ENSMUSP00000136110","PF07686","V-set",53007584,53007838
"ENSMUSP00000100357","PF07686","V-set",53016206,53016445
"ENSMUSP00000136741","PF07686","V-set",53029967,53030230
"ENSMUSP00000137877","PF07686","V-set",53032825,53033082
"ENSMUSP00000100423","PF07686","V-set",53048692,53048946
"ENSMUSP00000143439","PF07686","V-set",53059545,53059808
"ENSMUSP00000100425","PF07686","V-set",53062106,53062366
"ENSMUSP00000143500","PF07686","V-set",53073583,53073840
"ENSMUSP00000137870","PF07686","V-set",53082230,53082490
"ENSMUSP00000138881","PF07686","V-set",53082230,53082490
"ENSMUSP00000100365","PF07686","V-set",53089068,53089319
"ENSMUSP00000137691","PF07686","V-set",53093359,53093616
"ENSMUSP00000141168","PF07686","V-set",53093359,53093616
"ENSMUSP00000100393","PF07686","V-set",53101135,53101380
"ENSMUSP00000141165","PF07686","V-set",53101135,53101380
"ENSMUSP00000142463","PF07686","V-set",53129811,53130068
"ENSMUSP00000136004","PF07686","V-set",53129811,53130068
"ENSMUSP00000100369","PF07686","V-set",53137672,53137920
"ENSMUSP00000142977","PF07686","V-set",53153618,53153875
"ENSMUSP00000100370","PF07686","V-set",53153618,53153875
"ENSMUSP00000136492","PF07686","V-set",53158305,53158565
"ENSMUSP00000137153","PF07686","V-set",53167471,53167731
"ENSMUSP00000142721","PF07686","V-set",53180491,53180742
"ENSMUSP00000100373","PF07686","V-set",53180491,53180739
"ENSMUSP00000142348","PF07686","V-set",53186362,53186619
"ENSMUSP00000100374","PF07686","V-set",53186362,53186619
"ENSMUSP00000143660","PF07686","V-set",53194599,53194844
"ENSMUSP00000143158","PF07686","V-set",53210231,53210491
"ENSMUSP00000100376","PF07686","V-set",53210231,53210491
"ENSMUSP00000143411","PF07686","V-set",53221083,53221310
"ENSMUSP00000132136","PF07686","V-set",53221083,53221310
"ENSMUSP00000100377","PF07686","V-set",53228591,53228839
"ENSMUSP00000136664","PF07686","V-set",53239431,53239682
"ENSMUSP00000137604","PF07686","V-set",53245290,53245547
"ENSMUSP00000143226","PF07686","V-set",53258187,53258444
"ENSMUSP00000136474","PF07686","V-set",53270624,53270872
"ENSMUSP00000142447","PF07686","V-set",53280102,53280341
"ENSMUSP00000100382","PF07686","V-set",53280102,53280341
"ENSMUSP00000100383","PF07686","V-set",53285004,53285270
"ENSMUSP00000143340","PF07686","V-set",53310476,53310727
"ENSMUSP00000100384","PF07686","V-set",53310476,53310724
"ENSMUSP00000100385","PF07686","V-set",53316238,53316495
"ENSMUSP00000100386","PF07686","V-set",53329067,53329324
"ENSMUSP00000100388","PF07686","V-set",53342536,53342793
"ENSMUSP00000100389","PF07686","V-set",53359806,53360060
"ENSMUSP00000137708","PF07686","V-set",53370323,53370586
"ENSMUSP00000100390","PF07686","V-set",53370323,53370586
"ENSMUSP00000143681","PF07686","V-set",53384644,53384901
"ENSMUSP00000143191","PF07686","V-set",53393277,53393537
"ENSMUSP00000100364","PF07686","V-set",53393277,53393537
"ENSMUSP00000142913","PF07686","V-set",53400112,53400363
"ENSMUSP00000143569","PF07686","V-set",53404371,53404628
"ENSMUSP00000137036","PF07686","V-set",53404371,53404628
"ENSMUSP00000143704","PF07686","V-set",53412095,53412340
"ENSMUSP00000100367","PF07686","V-set",53412095,53412340
"ENSMUSP00000142448","PF07686","V-set",53440747,53441004
"ENSMUSP00000137598","PF07686","V-set",53440747,53441004
"ENSMUSP00000100395","PF07686","V-set",53448609,53448857
"ENSMUSP00000143168","PF07686","V-set",53464592,53464849
"ENSMUSP00000100396","PF07686","V-set",53464592,53464849
"ENSMUSP00000136185","PF07686","V-set",53469295,53469555
"ENSMUSP00000137319","PF07686","V-set",53478433,53478693
"ENSMUSP00000143076","PF07686","V-set",53491519,53491770
"ENSMUSP00000100399","PF07686","V-set",53491519,53491767
"ENSMUSP00000143134","PF07686","V-set",53497372,53497629
"ENSMUSP00000100400","PF07686","V-set",53497372,53497629
"ENSMUSP00000143056","PF07686","V-set",53505734,53505979
"ENSMUSP00000142822","PF07686","V-set",53521368,53521628
"ENSMUSP00000100402","PF07686","V-set",53521368,53521628
"ENSMUSP00000100403","PF07686","V-set",53532223,53532480
"ENSMUSP00000100404","PF07686","V-set",53539761,53540009
"ENSMUSP00000137359","PF07686","V-set",53550621,53550872
"ENSMUSP00000137407","PF07686","V-set",53556476,53556733
"ENSMUSP00000136007","PF07686","V-set",53562404,53562661
"ENSMUSP00000136279","PF07686","V-set",53574844,53575092
"ENSMUSP00000100409","PF07686","V-set",53583635,53583874
"ENSMUSP00000143456","PF07686","V-set",53588804,53589070
"ENSMUSP00000100410","PF07686","V-set",53588804,53589070
"ENSMUSP00000143372","PF07686","V-set",53601308,53601559
"ENSMUSP00000100411","PF07686","V-set",53601308,53601559
"ENSMUSP00000100429","PF07686","V-set",53607768,53608025
"ENSMUSP00000100412","PF07686","V-set",53607768,53608025
"ENSMUSP00000100413","PF07686","V-set",53628339,53628593
"ENSMUSP00000100414","PF07686","V-set",53656075,53656326
"ENSMUSP00000137964","PF07686","V-set",53667581,53667829
"ENSMUSP00000138968","PF07686","V-set",53667581,53667829
"ENSMUSP00000137590","PF07686","V-set",53681035,53681292
"ENSMUSP00000137807","PF07686","V-set",53691988,53692233
"ENSMUSP00000139283","PF07686","V-set",53691988,53692233
"ENSMUSP00000137912","PF07686","V-set",53698930,53699184
"ENSMUSP00000100420","PF07686","V-set",53707440,53707682
"ENSMUSP00000100358","PF07686","V-set",53725757,53726020
"ENSMUSP00000137814","PF07686","V-set",53728814,53729071
"ENSMUSP00000139176","PF07686","V-set",53728814,53729071
"ENSMUSP00000100360","PF07686","V-set",53743482,53743736
"ENSMUSP00000100361","PF07686","V-set",53754552,53754815
"ENSMUSP00000100362","PF07686","V-set",53757052,53757312
"ENSMUSP00000143345","PF07686","V-set",53768509,53768766
"ENSMUSP00000143545","PF07686","V-set",53775927,53776187
"ENSMUSP00000100427","PF07686","V-set",53775927,53776187
"ENSMUSP00000100428","PF07686","V-set",53782727,53782975
"ENSMUSP00000143077","PF07686","V-set",53791751,53792008
"ENSMUSP00000143712","PF07686","V-set",53797440,53797691
"ENSMUSP00000100430","PF07686","V-set",53797440,53797691
"ENSMUSP00000100431","PF07686","V-set",53828707,53828964
