Protein_ID,Domain_ID,Domain_Name,Genomic_Start,Genomic_End
ENSP00000451578,PF07686,V-set,22422782,22423036
ENSP00000451750,PF07686,V-set,22469046,22469315
ENSP00000488521,PF07686,V-set,391452,391712
ENSP00000488212,PF07686,V-set,475991,476254
ENSP00000488035,PF07686,V-set,383699,383959
ENSP00000488823,PF07686,V-set,438940,439203
ENSP00000488241,PF07686,V-set,466345,466605
ENSP00000487749,PF07686,V-set,558786,559016
ENSP00000487807,PF07686,V-set,622924,623184
ENSP00000488855,PF07686,V-set,567663,567923
ENSP00000488287,PF07686,V-set,294396,294596
ENSP00000479511,PF07686,V-set,673526,673786
ENSP00000488775,PF07686,V-set,605803,606060
ENSP00000488267,PF07686,V-set,372989,373249
ENSP00000487884,PF07686,V-set,533221,533484
ENSP00000488478,PF07686,V-set,503880,504140
ENSP00000488274,PF07686,V-set,718172,718432
ENSP00000488152,PF07686,V-set,336656,336919
ENSP00000488633,PF07686,V-set,584871,585134
ENSP00000488099,PF07686,V-set,630784,631053
ENSP00000488576,PF07686,V-set,324746,325003
ENSP00000488043,PF07686,V-set,408761,409021
ENSP00000488515,PF07686,V-set,375733,375993
ENSP00000488335,PF07686,V-set,471641,471880
ENSP00000488108,PF07686,V-set,368157,368420
ENSP00000488621,PF07686,V-set,619804,620070
ENSP00000487718,PF07686,V-set,649835,650098
ENSP00000488190,PF07686,V-set,515814,516077
ENSP00000488374,PF07686,V-set,446893,447153
ENSP00000488778,PF07686,V-set,539752,540012
ENSP00000480928,PF07686,V-set,723471,723731
ENSP00000488123,PF07686,V-set,434760,435017
ENSP00000488641,PF07686,V-set,591819,592064
ENSP00000487667,PF07686,V-set,307628,307885
ENSP00000488017,PF07686,V-set,524018,524278
ENSP00000488308,PF07686,V-set,283173,283433
ENSP00000488127,PF07686,V-set,332960,333217
ENSP00000488424,PF07686,V-set,495449,495712
ENSP00000487939,PF07686,V-set,263061,263324
ENSP00000487913,PF07686,V-set,601911,602174
ENSP00000488756,PF07686,V-set,290422,290679
ENSP00000488057,PF07686,V-set,659158,659418
ENSP00000488280,PF07686,V-set,511172,511411
ENSP00000488131,PF07686,V-set,275328,275558
